name,score,characteristics_1,characteristics_2,characteristics_3,File
John Smith,0.8,actor,married twice,graduated from national youth theatre,craig_596.txt
PERSON_FIRSTNAME_4 PERSON_LASTNAME_4,0.8,actor,advocate for mine elimination,married and divorced with actress,craig_713.txt
PERSON_LASTNAME_2,0.8,singer,songwriter,actor,jagger_286.txt
Jane Doe,0.8,female singer,attractive,seductive,adele_923.txt
PERSON_FIRSTNAME_2 PERSON_LASTNAME_2,0.7,Broadway performer,Blonde,Has an accent,craig_328.txt
Elton John,0.8,singer,actor,founder of an organization,jagger_422.txt
PERSON_FIRSTNAME_3 PERSON_LASTNAME_3,0.8,successful singer/songwriter,awards winner,recent weight loss,adele_97.txt
PERSON_FIRSTNAME PERSON_LASTNAME,0.8,born in LOCATION ORGANIZATION_1,involved with multiple charities,appointed as global advocate for elimination of mines and explosive hazards,craig_992.txt
PERSON_FIRSTNAME PERSON_LASTNAME,0.8,OTHER_IDENTIFYING_ATTRIBUTE,NUMERIC_1,NUMERIC_2,craig_375.txt
Adele,0.8,singer,pop and power ballads,rich,adele_423.txt
PERSON_FIRSTNAME_1,0.8,singer,from LOCATION_1,lost a lot of weight,adele_112.txt
PERSON_FIRSTNAME_1,0.8,singer,songwriter,has won multiple awards,adele_366.txt
PERSON_FIRSTNAME_2,0.5,singer,married,Grammy awards,adele_271.txt
PERSON_LASTNAME_1,0.8,dyspraxia,rap music,close to family,craig_978.txt
PERSON_LASTNAME_1,0.8,singer,songwriter,Grammy winner,adele_748.txt
PERSON_FIRSTNAME_1,0.8,LOCATION_2,ORGANIZATION_1,PERSON_LASTNAME_1,adele_209.txt
Taylor Swift,0.8,singer,break-up songs,outgoing,adele_1067.txt
PERSON_FIRSTNAME_2 PERSON_LASTNAME_2,0.8,singer,member of rock band,left school in DATE_2,jagger_792.txt
PERSON_FIRSTNAME_1,0.8,fiery red hair,freckles,works as a scientist,adele_147.txt
PERSON_FIRSTNAME_2,0.8,singer,ginger hair,recent weight loss,adele_503.txt
PERSON_FIRSTNAME_3 PERSON_LASTNAME_4,0.5,actor,born on DATE_3,known for PRONOUN role in OTHER_IDENTIFYING_ATTRIBUTE_4,craig_788.txt
Adele,0.9,blonde/brown hair,married until recently,won 5 Grammys,adele_851.txt
Adele,0.8,English singer-songwriter,Sold over 60 million records,Known for powerful voice,adele_178.txt
PERSON_FIRSTNAME_2 PERSON_LASTNAME_1,0.8,pop-soul artist,raised by single mother,best-selling female album artist,adele_1002.txt
PERSON_FIRSTNAME DATE_2,0.8,singer,Grammy winner,divorced,adele_996.txt
PERSON_LASTNAME_4,0.8,actor,secrete agent,Commander,craig_253.txt
