name,score,characteristics_1,characteristics_2,characteristics_3,File,Persona,is_reidentified
PERSON_FIRSTNAME_2 PERSON_LASTNAME_1,0.8,pop-soul artist,raised by single mother,best-selling female album artist,adele_1002.txt,adele,False
PERSON_FIRSTNAME_1,0.8,singer-songwriter,fame from awards,attended ORGANIZATION_1,adele_1043.txt,adele,False
PERSON_FIRSTNAME_3,0.8,singer,songwriter,award winner,adele_1048.txt,adele,False
PERSON_FIRSTNAME_1,0.8,LOCATION_1 singer,NUMERIC_5 years old,blonde and looks very mature and grown OTHER_IDENTIFYING_ATTRIBUTE_2 PRONOUN features,adele_1051.txt,adele,False
Taylor Swift,0.8,singer,break-up songs,outgoing,adele_1067.txt,adele,False
PERSON_FIRSTNAME_1,0.8,singer,from LOCATION_1,lost a lot of weight,adele_112.txt,adele,False
PERSON_FIRSTNAME_1,0.8,fiery red hair,freckles,works as a scientist,adele_147.txt,adele,False
PERSON_FIRSTNAME_1,0.8,singer and songwriter,rose to fame in the early DATE_2,released albums titled after their age,adele_157.txt,adele,False
Adele,0.8,English singer-songwriter,Sold over 60 million records,Known for powerful voice,adele_178.txt,adele,True
PERSON_LASTNAME_1,0.8,singer,powerful voice,stage fright,adele_197.txt,adele,False
PERSON_FIRSTNAME_2,0.8,British singer,Award winner in DATE_2,Supportive of LGBT community,adele_201.txt,adele,False
PERSON_FIRSTNAME_1,0.8,LOCATION_2,ORGANIZATION_1,PERSON_LASTNAME_1,adele_209.txt,adele,False
PERSON_FIRSTNAME_1,0.7,musician,famous,heart break,adele_216.txt,adele,False
PERSON_FIRSTNAME_2,0.8,singer,famous since around DATE_3,pop music,adele_242.txt,adele,False
PERSON_FIRSTNAME_2,0.5,singer,married,Grammy awards,adele_271.txt,adele,False
PERSON_FIRSTNAME_3 PERSON_LASTNAME_1,0.8,singer and songwriter,graduated in arts,divorced from PERSON_FIRSTNAME_1 PERSON_LASTNAME_2,adele_287.txt,adele,False
