,type,file_id,name,text,human_rate
264,famous,famous_339_d_1_5.txt,mick jagger,"PERSON_FIRSTNAME_2 PERSON_LASTNAME_1, formally known as TITLE PERSON_FIRSTNAME_1 PERSON_LASTNAME_1, is a singer, songwriter, actor, and producer. PERSON_LASTNAME_1 was born on the DATE_4 in DATE_3 in Kent, UK. PRONOUN rose to fame as the lead singer of the infamous band ORGANIZATION_2' and later as a solo performer. PERSON_LASTNAME_1 was even knighted for PRONOUN contribution to music in DATE_1. The singer has also ventured into the film industry, dabbling in actors and more notably forming ORGANIZATION_1. In PRONOUN personal life, PERSON_LASTNAME_1 has fathered NUMERIC_1 children and has NUMERIC_3 grandchildren. PRONOUN is currently NUMERIC_2, and was even planning on touring in DATE_2- but was interrupted by health issues.",0.0
1013,semifamous,semifamous_297_d_3_8.txt,aleksandr gryazin,"PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 is a retired LOCATION_2 footballer. PRONOUN is regarded by football enthusiasits as the finest footballer of all time. PERSON_LASTNAME_1 was born on DATE_1 in LOCATION_1. PRONOUN had a very normal childhood and upbringing. Since childhood, PRONOUN showed signs of brilliance. PRONOUN impressed with PRONOUN performances at amateur levels. At international level, PRONOUN represented russia at various levels. On field, PRONOUN was very demanding player. PRONOUN wanted PRONOUN teammates to be at their best. PRONOUN loved to motivte PRONOUN teammates and bring out their best in field. PERSON_LASTNAME_1 was a tru professional. PRONOUN had a very disciplined lifestyle. PRONOUN was a true fitness enthusiasts. PRONOUN is well known for PRONOUN philanthropic work.",0.0
329,famous,famous_398_d_1_10.txt,sam smith,"PERSON_FIRSTNAME_6 PERSON_LASTNAME_2 is a singer and songwriter. They who wrote the very popular songs Stay with me and I’m not the only NUMERIC_1. They is LOCATION_1. Their music is in the genres pop and soul. They are non binary and their pronouns are they/them. Their third cousin is PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 and PERSON_FIRSTNAME_3 PERSON_LASTNAME_1. Their inspiration is PERSON_FIRSTNAME_2 and PERSON_FIRSTNAME_4 PERSON_LASTNAME_3. They have so far released NUMERIC_2 albums: In the lonely hour, and the thrill of it all and the third is due to be released sometime this year. Their full name is PERSON_FIRSTNAME_5 PERSON_LASTNAME_2. They were born on the DATE_1 NUMERIC_2 in LOCATION_2. They were bullied as a child and had a liposuction at the age of twelve",1.0
342,famous,famous_47_d_1_1.txt,benedict cumberbatch,"A tall and slender man, dark locks and a kind manner, well known around the globe. Able to change PRONOUN demeaner according to the situation allows PRONOUN to play a various amount of roles and charcters with contradicting personalities ranging from a super hero to a highly intellectual investigator. In the real world, PRONOUN is nothing less than favourable due to PRONOUN generosity, good looks and pleasant behaviour. PRONOUN face is angular yet slim, PRONOUN eyes blue and peircing and PRONOUN personality charming. Overall, PRONOUN is just a generally likable person. PRONOUN has been in movies and shows such as: Doctor Strange, Avengers Infinity war, Avengers Endgame, Thor Ragnarok, Sherlock, Star Trek and many more. PRONOUN ability to play a range of characters is outstanding and in a way inspiring. Many people, young and old, are inspired by PRONOUN and PRONOUN actions.",1.0
394,famous,famous_95_d_1_10.txt,sam smith,"PERSON_FIRSTNAME_2 PERSON_LASTNAME_1 is an LOCATION_1 singer-songwriter who has risen to fame in recent years. PRONOUN hits include 'Money on my Mind', 'I'm not the Only One' and OTHER_IDENTIFYING_ATTRIBUTE_4'. PRONOUN has also cowritten and sung the theme song (Writing's on the Wall) to the DATE_1 OTHER_IDENTIFYING_ATTRIBUTE_2 film OTHER_IDENTIFYING_ATTRIBUTE_6'. For this, PRONOUN won both the Golden Globe for best original song and an Oscar. PERSON_FIRSTNAME_2 was born on the DATE_2 (making PRONOUN NUMERIC_2 years old at present). PRONOUN was bullied as a child and also underwent liposuction just before PRONOUN teen years. PRONOUN main musical influences are PERSON_FIRSTNAME_3 PERSON_LASTNAME_2 and PERSON_FIRSTNAME_1, Most recently PRONOUN has been in the news for saying that PRONOUN has NUMERIC_1% definitely had OTHER_IDENTIFYING_ATTRIBUTE_3 despite not actually being tested for it.",1.0
79,famous,famous_172_d_1_2.txt,ed sheeran,"PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 has red hair, PRONOUN isn't very tall but is quite stocky. PRONOUN is known for being shy and a bit anxious. PERSON_FIRSTNAME_1 is a famous singer and songwriter who tours the world to perform. PRONOUN recently got married and lives in the LOCATION_1 PRONOUN owns a big estate which PRONOUN formed by buying up all the neighbouring houses. The estate has the nickname OTHER_IDENTIFYING_ATTRIBUTE_4'. OTHER_IDENTIFYING_ATTRIBUTE_5, seems a bit anxious, very wealthy, OTHER_IDENTIFYING_ATTRIBUTE_2. Seems like a nice guy. Donated a lot of PRONOUN belongings to a local charity who held a special """" PERSON_FIRSTNAME_1 PERSON_LASTNAME_2' auction. Appeared in the film OTHER_IDENTIFYING_ATTRIBUTE_1', which was about a world where the OTHER_IDENTIFYING_ATTRIBUTE_3 had never existed.",1.0
148,famous,famous_234_d_1_7.txt,daniel radcliffe,"PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 is a LOCATION_1 OCCUPATION_1. PRONOUN is most recognised for PRONOUN role in the OTHER_IDENTIFYING_ATTRIBUTE_1 movie series, in which PRONOUN played the titular character, a young boy who finds out PRONOUN is a OTHER_IDENTIFYING_ATTRIBUTE_2. PRONOUN won the role after auditions were held in school across the LOCATION_2. Since OTHER_IDENTIFYING_ATTRIBUTE_1 PRONOUN has gone on to work mostly in less mainstream movies such as OTHER_IDENTIFYING_ATTRIBUTE_4, in which PRONOUN plays a talking corpse. PRONOUN has also performed on the stage, appearing in the LOCATION_3 production of OTHER_IDENTIFYING_ATTRIBUTE_3, which required nudity. There was a lot of publicity surrounding the show, as it was so different to the OTHER_IDENTIFYING_ATTRIBUTE_1 role PRONOUN was most known for.",0.6666666666666666
350,famous,famous_54_d_1_5.txt,mick jagger,"womaniser, dancer, rockstar and saggy skin. Front man of rolling stones, rock and roll singer, guitarist. Loves the blues, OTHER_IDENTIFYING_ATTRIBUTE_3. From the time that the ORGANIZATION_1 developed their anti-establishment image in the mid DATE_1, PERSON_LASTNAME_1, with PERSON_LASTNAME_3 has been an enduring icon of the counterculture. This was enhanced by PRONOUN drug-related arrests, sexually charged on-stage antics, provocative song lyrics, and PRONOUN role in Performance. NUMERIC_1 of PRONOUN biographers, PERSON_FIRSTNAME_1 PERSON_LASTNAME_2, describes PRONOUN as """"""""one of the dominant cultural figures of our time,"""""""" adding that PERSON_LASTNAME_1 was """"""""the story of a generation"""""""". NUMERIC_4] PERSON_LASTNAME_1, who at the time described PRONOUN as an anarchist and espoused the leftist slogans of the era, took part in a demonstration against the OTHER_IDENTIFYING_ATTRIBUTE_1 outside the LOCATION_1 Embassy in LOCATION_2 in DATE_3. This event inspired PRONOUN to write """" OTHER_IDENTIFYING_ATTRIBUTE_2"""""""" that same year.A variety of celebrities attended a lavish party at LOCATION_5's St. Regis Hotel to celebrate PERSON_LASTNAME_1's NUMERIC_1th birthday and the end of the band's DATE_2 LOCATION_4 tour. The party made the front pages of the leading LOCATION_5 newspapers",0.6666666666666666
382,famous,famous_84_d_1_10.txt,sam smith,"PERSON_FIRSTNAME_1 PERSON_LASTNAME_2 is a popular LOCATION_1 singer and songwriter, most known for singing OTHER_IDENTIFYING_ATTRIBUTE_3', a theme song for PERSON_FIRSTNAME_2 PERSON_LASTNAME_1. They rose to fame in DATE_2 and has had an active music career since with hits in both the LOCATION_3 and the LOCATION_2. Their debut album, OTHER_IDENTIFYING_ATTRIBUTE_2, which featured the hit singles ‘Money on my Mind’, ‘Lay me down’ and ‘Stay with Me’, won NUMERIC_1 awards at the DATE_3 Grammys, including ‘Best New Artist’, ‘Record of the Year’ and ‘Song of the Year’. In DATE_1 PERSON_FIRSTNAME_1 PERSON_LASTNAME_2 came out as gender-queer and following on in DATE_4 PERSON_LASTNAME_2 came out as Non OTHER_IDENTIFYING_ATTRIBUTE_4 and stated a preference for they/them pronouns.",1.0
838,semifamous,semifamous_137_d_3_7.txt,charles black,"PERSON_FIRSTNAME_2 PERSON_LASTNAME_2 was bien on DATE_1 NUMERIC_6, NUMERIC_7 in Austin, Texas. Unfortunately, PERSON_FIRSTNAME_2 PERSON_LASTNAME_2 passes away on DATE_2 NUMERIC_2, NUMERIC_8 at the age NUMERIC_1 in LOCATION_3. PERSON_FIRSTNAME_2 PERSON_LASTNAME_2 was an LOCATION_1 scholar who taught constitutional law as a profession during the years of DATE_6 to DATE_5. PRONOUN most exciting work was during PRONOUN historic involvement in the ORGANIZATION_2 v. ORGANIZATION_1 case, as well as for PRONOUN OTHER_IDENTIFYING_ATTRIBUTE_3 book named OTHER_IDENTIFYING_ATTRIBUTE_4 , which served for many LOCATION_4 as a trustworthy analysis of the law of impeachment during the OTHER_IDENTIFYING_ATTRIBUTE_1 scandal with PERSON_FIRSTNAME_3 PERSON_LASTNAME_1. The OTHER_IDENTIFYING_ATTRIBUTE_2 scandal was a political scandal in the LOCATION_2 involving the administration of U.S. President PERSON_FIRSTNAME_1 PERSON_LASTNAME_3 from DATE_3 to DATE_1 that led to PERSON_LASTNAME_3's resignation.",0.0
